ID,Code departement,Commune
4616,77,DAMMARTIN-EN-GOELE
4617,83,LA SEYNE SUR MER
4618,93,PIERREFITTE-SUR-SEINE
4619,94,NOISEAU
4620,75,PARIS 11
4621,92,COURBEVOIE
4622,93,MONTREUIL
4623,69,CALUIRE ET CUIRE
4624,91,SAINT-PIERRE-DU-PERRAY
4625,44,NANTES
4626,75,PARIS 17
4627,34,VIC-LA-GARDIOLE
4628,6,ANTIBES
4629,6,VILLEFRANCHE-SUR-MER
4630,44,LA BAULE-ESCOUBLAC
4631,91,SAINT-MICHEL-SUR-ORGE
4632,92,BOULOGNE-BILLANCOURT
4633,75,PARIS 13
4634,25,MAMIROLLE
4635,56,LORIENT
4636,40,SEIGNOSSE
4637,33,VILLENAVE D ORNON
4638,33,LUDON MEDOC
4639,95,MONTIGNY LES CORMEILLES
4640,77,LAGNY-SUR-MARNE
4641,91,LONGJUMEAU
4642,92,LA GARENNE-COLOMBES
4643,94,NOISEAU
4644,94,BRY-SUR-MARNE
4645,94,CHAMPIGNY-SUR-MARNE
4646,45,ORLEANS
4647,93,SAINT-DENIS
4648,95,ST GRATIEN
4649,972,TROIS ILETS
4650,92,CLAMART
4651,78,MAUREPAS
4652,31,TOULOUSE
4653,24,PERIGUEUX
4654,13,SAINT-REMY-DE-PROVENCE
4655,78,LOUVECIENNES
4656,75,PARIS 12
4657,93,EPINAY SUR SEINE
4658,92,COLOMBES
4659,95,BEAUCHAMP
4660,51,REIMS
4661,33,GRADIGNAN
4662,86,BOURESSE
4663,91,ATHIS MONS
4664,95,PARMAIN
4665,75,PARIS 17
4666,83,LA GARDE
4667,6,BEAULIEU SUR MER
4668,92,BOULOGNE-BILLANCOURT
4669,91,MASSY
4670,91,PALAISEAU
4671,94,VILLEJUIF
4672,13,MARSEILLE 14EME
4673,91,BALLAINVILLIERS
4674,77,LAGNY-SUR-MARNE
4675,13,LA CIOTAT
4676,30,AIGUES-MORTES
4677,75,PARIS 20
4678,94,LA QUEUE-EN-BRIE
4679,33,GRADIGNAN
4680,35,RENNES
4681,75,PARIS 14
4682,94,VITRY-SUR-SEINE
4683,33,LE TEICH
4684,92,BAGNEUX
4685,38,VOIRON
4686,83,SAINT-MANDRIER-SUR-MER
4687,92,ASNIERES-SUR-SEINE
4688,91,GIF SUR YVETTE
4689,69,SATHONAY-CAMP
4690,6,CAGNES SUR MER
4691,13,MARSEILLE 9EME
4692,92,BOURG-LA-REINE
4693,93,LE PRE-SAINT-GERVAIS
4694,13,MARSEILLE 6EME
4695,75,PARIS 15
4696,92,COURBEVOIE
4697,75,PARIS 17
4698,95,ERMONT
4699,35,RENNES
4700,75,PARIS 15
4701,94,LE PERREUX-SUR-MARNE
4702,95,TAVERNY
4703,77,CHANTELOUP EN BRIE
4704,74,ANNECY
4705,69,LYON 2EME
4706,77,GRISY-SUISNES
4707,75,PARIS 12
4708,92,ANTONY
4709,6,NICE
4710,75,PARIS 11
4711,75,PARIS 19
4712,44,NANTES
4713,69,LYON 9EME
4714,75,PARIS 07
